txn_id,amount,date
TXN1000,12968.82,2026-08-23
TXN1001,987.71,2026-08-04
TXN1002,5863.07,2026-08-12
TXN1003,4852.61,2026-08-10
TXN1004,14861.19,2026-08-26
TXN1005,13695.64,2026-08-24
TXN1006,17897.5,2026-08-31
TXN1007,2195.31,2026-08-06
TXN1008,8727.48,2026-08-16
TXN1010,4763.44,2026-08-10
TXN1011,10354.43,2026-08-19
TXN1012,1017.45,2026-08-04
TXN1013,4377.33,2026-08-11
TXN1014,13172.75,2026-08-23
TXN1015,11126.36,2026-08-20
TXN1016,4798.59,2026-08-10
TXN1017,11990.68,2026-08-22
TXN1018,16283.89,2026-08-28
TXN1019,626.73,2026-08-04
TXN1020,16213.48,2026-08-28
TXN1021,14113.72,2026-08-24
TXN1022,7134.89,2026-08-14
TXN1023,3531.85,2026-08-08
TXN1024,19165.65,2026-09-01
TXN1025,6922.32,2026-08-14
TXN1026,2308.54,2026-08-06
TXN1027,2385.97,2026-08-06
TXN1028,17026.14,2026-08-29
TXN1029,12027.21,2026-08-22
TXN1030,15914.22,2026-08-28
TXN1031,14729.77,2026-08-25
TXN1032,10956.45,2026-08-20
TXN1033,19475.76,2026-09-02
TXN1034,7881.42,2026-08-15
TXN1035,11264.79,2026-08-20
TXN1036,16673.39,2026-08-29
TXN1037,12561.14,2026-08-22
TXN1038,16957.21,2026-08-29
TXN1039,11758.37,2026-08-21
TXN1040,14239.15,2026-08-25
TXN1041,1393.58,2026-08-05
TXN104X,4944.02,2026-08-10
TXN1043,6143.07,2026-08-13
TXN1044,2055.94,2026-08-06
TXN1045,5039.42,2026-08-10
TXN1046,2469.53,2026-08-07
TXN1047,5920.49,2026-08-13
TXN1048,12895.85,2026-08-23
TXN1049,7461.95,2026-08-14
TXN1050,7718.53,2026-08-15
TXN1051,4585.39,2026-08-10
TXN1052,5706.07,2026-08-12
TXN1053,18389.46,2026-09-01
TXN1054,13136.69,2026-08-23
TXN1055,12130.49,2026-08-22
TXN1056,3837.2,2026-08-09
TXN1057,14717.97,2026-08-25
TXN1058,3686.35,2026-08-08
TXN1059,7899.38,2026-08-15
TXN1032,10956.45,2026-08-20
TXN1001,987.71,2026-08-04
TXN1007,2195.31,2026-08-06
BANKONLY0,4680.94,2026-09-02
BANKONLY1,4454.25,2026-08-23
BANKONLY2,4242.49,2026-08-20
