ledger_txn_id,bank_txn_id,ledger_amount,bank_amount,ledger_date,bank_date,amount_difference,date_difference_days,tier,confidence,reason
TXN1000,TXN1000,12968.82,12968.82,2026-08-23,2026-08-23,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1001,TXN1001,987.71,987.71,2026-08-04,2026-08-04,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1002,TXN1002,5863.07,5863.07,2026-08-12,2026-08-12,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1003,TXN1003,4852.61,4852.61,2026-08-10,2026-08-10,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1004,TXN1004,14861.19,14861.19,2026-08-26,2026-08-26,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1005,TXN1005,13695.64,13695.64,2026-08-24,2026-08-24,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1007,TXN1007,2195.31,2195.31,2026-08-06,2026-08-06,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1008,TXN1008,8727.48,8727.48,2026-08-16,2026-08-16,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1010,TXN1010,4763.44,4763.44,2026-08-10,2026-08-10,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1011,TXN1011,10354.43,10354.43,2026-08-19,2026-08-19,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1012,TXN1012,1017.45,1017.45,2026-08-04,2026-08-04,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1014,TXN1014,13172.75,13172.75,2026-08-23,2026-08-23,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1015,TXN1015,11126.36,11126.36,2026-08-20,2026-08-20,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1016,TXN1016,4798.59,4798.59,2026-08-10,2026-08-10,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1018,TXN1018,16283.89,16283.89,2026-08-28,2026-08-28,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1019,TXN1019,626.73,626.73,2026-08-04,2026-08-04,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1020,TXN1020,16213.48,16213.48,2026-08-28,2026-08-28,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1021,TXN1021,14113.72,14113.72,2026-08-24,2026-08-24,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1022,TXN1022,7134.89,7134.89,2026-08-14,2026-08-14,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1023,TXN1023,3531.85,3531.85,2026-08-08,2026-08-08,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1024,TXN1024,19165.65,19165.65,2026-09-01,2026-09-01,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1026,TXN1026,2308.54,2308.54,2026-08-06,2026-08-06,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1027,TXN1027,2385.97,2385.97,2026-08-06,2026-08-06,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1028,TXN1028,17026.14,17026.14,2026-08-29,2026-08-29,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1031,TXN1031,14729.77,14729.77,2026-08-25,2026-08-25,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1032,TXN1032,10956.45,10956.45,2026-08-20,2026-08-20,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1033,TXN1033,19475.76,19475.76,2026-09-02,2026-09-02,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1034,TXN1034,7881.42,7881.42,2026-08-15,2026-08-15,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1035,TXN1035,11264.79,11264.79,2026-08-20,2026-08-20,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1037,TXN1037,12561.14,12561.14,2026-08-22,2026-08-22,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1039,TXN1039,11758.37,11758.37,2026-08-21,2026-08-21,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1040,TXN1040,14239.15,14239.15,2026-08-25,2026-08-25,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1041,TXN1041,1393.58,1393.58,2026-08-05,2026-08-05,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1044,TXN1044,2055.94,2055.94,2026-08-06,2026-08-06,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1045,TXN1045,5039.42,5039.42,2026-08-10,2026-08-10,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1046,TXN1046,2469.53,2469.53,2026-08-07,2026-08-07,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1048,TXN1048,12895.85,12895.85,2026-08-23,2026-08-23,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1050,TXN1050,7718.53,7718.53,2026-08-15,2026-08-15,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1051,TXN1051,4585.39,4585.39,2026-08-10,2026-08-10,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1052,TXN1052,5706.07,5706.07,2026-08-12,2026-08-12,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1054,TXN1054,13136.69,13136.69,2026-08-23,2026-08-23,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1056,TXN1056,3837.2,3837.2,2026-08-09,2026-08-09,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1057,TXN1057,14717.97,14717.97,2026-08-25,2026-08-25,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1058,TXN1058,3686.35,3686.35,2026-08-08,2026-08-08,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1059,TXN1059,7899.38,7899.38,2026-08-15,2026-08-15,0.0,0,exact,1.0,"Transaction ID, amount and date all match"
TXN1006,TXN1006,17897.5,17897.5,2026-08-30,2026-08-31,0.0,1,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1013,TXN1013,4377.33,4377.33,2026-08-09,2026-08-11,0.0,2,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1017,TXN1017,11990.68,11990.68,2026-08-21,2026-08-22,0.0,1,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1025,TXN1025,7063.59,6922.32,2026-08-14,2026-08-14,2.0,0,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1029,TXN1029,12272.66,12027.21,2026-08-22,2026-08-22,2.0,0,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1030,TXN1030,16239.0,15914.22,2026-08-28,2026-08-28,2.0,0,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1036,TXN1036,16673.39,16673.39,2026-08-28,2026-08-29,0.0,1,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1038,TXN1038,17303.28,16957.21,2026-08-29,2026-08-29,2.0,0,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1043,TXN1043,6143.07,6143.07,2026-08-12,2026-08-13,0.0,1,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1047,TXN1047,5920.49,5920.49,2026-08-12,2026-08-13,0.0,1,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1049,TXN1049,7614.23,7461.95,2026-08-14,2026-08-14,2.0,0,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1053,TXN1053,18764.76,18389.46,2026-09-01,2026-09-01,2.0,0,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1055,TXN1055,12378.05,12130.49,2026-08-22,2026-08-22,2.0,0,tolerance,0.9,Same transaction ID with small amount/date difference
TXN1042,TXN104X,4944.02,4944.02,2026-08-10,2026-08-10,0.0,0,fuzzy,0.86,Reference similarity = 85.7%
